,Concept(BoW)
SantaMariaMaggiore&SantaMariaMaggiore,0.2941282093524933
SantaMariaMaggiore&SantaMariaMaggiore,0.20989438891410828
SantaMariaMaggiore&SantaMariaMaggiore,0.11306644976139069
SantaMariaMaggiore&SantaMariaMaggiore,0.08963276445865631
SantaMariaMaggiore&SantaMariaMaggiore,0.09909692406654358
SantaMariaMaggiore&SantaMariaMaggiore,0.08435698598623276
SantaMariaMaggiore&SantaMariaMaggiore,0.125664621591568
SantaMariaMaggiore&SantaMariaMaggiore,0.20869213342666626
SantaMariaMaggiore&SantaMariaMaggiore,0.33184847235679626
SantaMariaMaggiore&SantaMariaMaggiore,0.07244464755058289
SantaMariaMaggiore&SantaMariaMaggiore,0.17607390880584717
SantaMariaMaggiore&SantaMariaMaggiore,0.2061779648065567
SantaMariaMaggiore&SantaMariaMaggiore,0.2137412130832672
SantaMariaMaggiore&SantaMariaMaggiore,0.22097808122634888
SantaMariaMaggiore&SantaMariaMaggiore,0.14294089376926422
SantaMariaMaggiore&SantaMariaMaggiore,0.23681087791919708
SantaMariaMaggiore&SantaMariaMaggiore,0.3888454735279083
SantaMariaMaggiore&SantaMariaMaggiore,-0.01911906525492668
SantaMariaMaggiore&SantaMariaMaggiore,0.05303269252181053
SantaMariaMaggiore&SantaMariaMaggiore,0.08884747326374054
SantaMariaMaggiore&SantaMariaMaggiore,0.11292895674705505
SantaMariaMaggiore&SantaMariaMaggiore,0.16329076886177063
SantaMariaMaggiore&SantaMariaMaggiore,0.16109518706798553
SantaMariaMaggiore&SantaMariaMaggiore,0.09404982626438141
SantaMariaMaggiore&SantaMariaMaggiore,0.20372994244098663
SantaMariaMaggiore&SantaMariaMaggiore,0.22955361008644104
SantaMariaMaggiore&SantaMariaMaggiore,0.19527722895145416
SantaMariaMaggiore&SantaMariaMaggiore,0.005758409388363361
SantaMariaMaggiore&SantaMariaMaggiore,0.17050056159496307
SantaMariaMaggiore&SantaMariaMaggiore,0.14043714106082916
SantaMariaMaggiore&SantaMariaMaggiore,0.13695575296878815
SantaMariaMaggiore&SantaMariaMaggiore,0.17180076241493225
SantaMariaMaggiore&SantaMariaMaggiore,0.31117725372314453
SantaMariaMaggiore&SantaMariaMaggiore,0.07316403090953827
SantaMariaMaggiore&SantaMariaMaggiore,0.11467494815587997
SantaMariaMaggiore&SantaMariaMaggiore,-0.027448298409581184
SantaMariaMaggiore&SantaMariaMaggiore,0.1357014924287796
SantaMariaMaggiore&SantaMariaMaggiore,0.1540006846189499
SantaMariaMaggiore&SantaMariaMaggiore,0.19144918024539948
SantaMariaMaggiore&SantaMariaMaggiore,0.05102402716875076
SantaMariaMaggiore&SantaMariaMaggiore,0.17390835285186768
SantaMariaMaggiore&SantaMariaMaggiore,0.23347213864326477
SantaMariaMaggiore&SantaMariaMaggiore,0.24901969730854034
SantaMariaMaggiore&SantaMariaMaggiore,0.08630011230707169
SantaMariaMaggiore&SantaMariaMaggiore,0.13486318290233612
SantaMariaMaggiore&SantaMariaMaggiore,0.22340689599514008
SantaMariaMaggiore&SantaMariaMaggiore,0.2697930932044983
SantaMariaMaggiore&SantaMariaMaggiore,0.12418610602617264
SantaMariaMaggiore&SantaMariaMaggiore,0.1898275911808014
SantaMariaMaggiore&SantaMariaMaggiore,0.12642289698123932
SantaMariaMaggiore&SantaMariaMaggiore,0.08283337205648422
SantaMariaMaggiore&SantaMariaMaggiore,-0.006545141339302063
SantaMariaMaggiore&SantaMariaMaggiore,0.08078078180551529
SantaMariaMaggiore&SantaMariaMaggiore,0.12140912562608719
SantaMariaMaggiore&SantaMariaMaggiore,0.08605289459228516
SantaMariaMaggiore&SantaMariaMaggiore,0.11902344226837158
SantaMariaMaggiore&SantaMariaMaggiore,0.2103085070848465
SantaMariaMaggiore&SantaMariaMaggiore,0.2450815737247467
SantaMariaMaggiore&SantaMariaMaggiore,0.13532423973083496
SantaMariaMaggiore&SantaMariaMaggiore,0.15165992081165314
SantaMariaMaggiore&SantaMariaMaggiore,0.3383525311946869
SantaMariaMaggiore&SantaMariaMaggiore,0.21710437536239624
SantaMariaMaggiore&SantaMariaMaggiore,0.0359959602355957
SantaMariaMaggiore&SantaMariaMaggiore,0.15486277639865875
SantaMariaMaggiore&SantaMariaMaggiore,0.19419367611408234
SantaMariaMaggiore&SantaMariaMaggiore,0.08152899891138077
SantaMariaMaggiore&SantaMariaMaggiore,0.06887398660182953
SantaMariaMaggiore&SantaMariaMaggiore,0.09366417676210403
SantaMariaMaggiore&SantaMariaMaggiore,0.12633979320526123
AbbeyChurchOfSainteFoy&Durham Cathedral,0.3868139386177063
AbbeyChurchOfSainteFoy&Lund Cathedral,0.2342250645160675
AbbeyChurchOfSainteFoy&StMichaelsChurch,0.3490730822086334
Durham Cathedral&Lund Cathedral,0.4301130771636963
Durham Cathedral&StMichaelsChurch,0.3253176510334015
Lund Cathedral&StMichaelsChurch,0.4137789309024811
StMichaelsChurch&StMichaelsChurch,0.27488934993743896
StMichaelsChurch&StMichaelsChurch,0.30832284688949585
StMichaelsChurch&StMichaelsChurch,0.310479074716568
StMichaelsChurch&StMichaelsChurch,0.3501988649368286
StMichaelsChurch&StMichaelsChurch,0.5901470184326172
StMichaelsChurch&StMichaelsChurch,0.44348520040512085
StMichaelsChurch&StMichaelsChurch,0.6030014157295227
StMichaelsChurch&StMichaelsChurch,0.414825975894928
StMichaelsChurch&StMichaelsChurch,0.4154539704322815
StMichaelsChurch&StMichaelsChurch,0.33842602372169495
StMichaelsChurch&StMichaelsChurch,0.5169674158096313
StMichaelsChurch&StMichaelsChurch,0.27636662125587463
StMichaelsChurch&StMichaelsChurch,0.42254960536956787
StMichaelsChurch&StMichaelsChurch,0.26083293557167053
StMichaelsChurch&StMichaelsChurch,0.36618608236312866
StMichaelsChurch&StMichaelsChurch,0.3418732285499573
StMichaelsChurch&StMichaelsChurch,0.2717277407646179
StMichaelsChurch&StMichaelsChurch,0.18557973206043243
StMichaelsChurch&StMichaelsChurch,0.1933632791042328
StMichaelsChurch&StMichaelsChurch,0.3961881697177887
StMichaelsChurch&StMichaelsChurch,0.3745090067386627
StMichaelsChurch&StMichaelsChurch,0.16802719235420227
StMichaelsChurch&StMichaelsChurch,0.2128577083349228
StMichaelsChurch&StMichaelsChurch,0.3704766631126404
StMichaelsChurch&StMichaelsChurch,0.2770674228668213
StMichaelsChurch&StMichaelsChurch,0.1353747546672821
StMichaelsChurch&StMichaelsChurch,0.1158980056643486
StMichaelsChurch&StMichaelsChurch,0.2571718096733093
StMichaelsChurch&StMichaelsChurch,0.31229907274246216
StMichaelsChurch&StMichaelsChurch,0.1712370663881302
StMichaelsChurch&StMichaelsChurch,0.25512921810150146
StMichaelsChurch&StMichaelsChurch,0.38064703345298767
StMichaelsChurch&StMichaelsChurch,0.2681407928466797
StMichaelsChurch&StMichaelsChurch,0.20537292957305908
StMichaelsChurch&StMichaelsChurch,0.3117641508579254
StMichaelsChurch&StMichaelsChurch,0.32566267251968384
StMichaelsChurch&StMichaelsChurch,0.1976006180047989
StMichaelsChurch&StMichaelsChurch,0.19319060444831848
StMichaelsChurch&StMichaelsChurch,0.23904380202293396
StMichaelsChurch&StMichaelsChurch,0.21825657784938812
StMichaelsChurch&StMichaelsChurch,0.08725671470165253
StMichaelsChurch&StMichaelsChurch,0.19035890698432922
StMichaelsChurch&StMichaelsChurch,0.239264577627182
StMichaelsChurch&StMichaelsChurch,0.15452158451080322
StMichaelsChurch&StMichaelsChurch,0.20678454637527466
StMichaelsChurch&StMichaelsChurch,0.3223807215690613
