,Style_1,Style_2,External(SSIM),External(MSE),Internal(SSIM),Internal(MSE),Plan(SSIM),Plan(MSE),Concept(Text),Topology,External(VGG16),Internal(VGG16),Plan(VGG16),Concept(BoW),Concept(Transformer)
AbbeyChurchOfSainteFoy&HotelTassel,02_Romanesque,07_ArtNouveau,19.34700414,10.60316134,16.41316269,13.56778593,41.91331737,7.792331018,87.0546937,36,0.256380841,0.341910347,0.353512496,0.328835495,0.117651038
AbbeyChurchOfSainteFoy&SecessionBulding,02_Romanesque,07_ArtNouveau,23.55511157,12.5779615,19.52526486,18.56482633,34.72431046,6.695859744,81.9829762,36,0.276175588,0.298680454,0.330441475,0.447939096,0.042082116
Durham Cathedral&CasaBatllo,02_Romanesque,07_ArtNouveau,30.7950699,14.04888801,19.83518381,11.09774798,47.74380054,8.782391936,87.80127168,98,0.352129377,0.371655196,0.364402793,0.413082625,0.163502812
Durham Cathedral&CastelBeranger,02_Romanesque,07_ArtNouveau,16.01371977,10.33013887,15.78208516,14.18470235,43.17504857,8.049641102,87.10340261,141,0.400684424,0.357974537,0.470588639,0.489955935,0.133513018
Durham Cathedral&HotelTassel,02_Romanesque,07_ArtNouveau,26.56183041,13.3279715,18.34005998,19.07978185,47.83527097,9.687591929,87.90905476,36,0.354497284,0.277889311,0.466217622,0.40048462,0.142913043
Durham Cathedral&SecessionBulding,02_Romanesque,07_ArtNouveau,26.4263678,11.20364551,18.65511879,19.44094019,46.47951873,8.305797954,88.25262189,36,0.313324325,0.23815231,0.48909653,0.394522684,0.117509782
Lund Cathedral&CasaBatllo,02_Romanesque,07_ArtNouveau,23.23974919,13.20050561,15.63768467,11.80069812,40.16200959,10.51234346,91.75704122,98,0.346542403,0.330257013,0.305158257,0.4561821,0.193206713
Lund Cathedral&CastelBeranger,02_Romanesque,07_ArtNouveau,18.14965586,12.77925998,13.12793341,11.01145567,39.48483703,9.813126392,88.58705163,141,0.545639321,0.360171195,0.365944356,0.530421044,0.191117913
Lund Cathedral&HotelTassel,02_Romanesque,07_ArtNouveau,20.07625481,11.35283056,17.28107867,10.33055962,36.36267267,11.94951167,91.06895328,36,0.415073231,0.299128253,0.405054957,0.439176197,0.13878341
Lund Cathedral&SecessionBulding,02_Romanesque,07_ArtNouveau,24.20333331,12.8409873,19.4235535,12.19033635,40.69918555,9.798729203,90.22528529,36,0.308095619,0.305592202,0.420313925,0.434693881,0.199670687
StMichaelsChurch&CasaBatllo,02_Romanesque,07_ArtNouveau,31.38754024,17.30750135,22.44045333,11.36147034,55.77251418,7.155571015,90.81720114,100,0.347205795,0.292497225,0.351550631,0.336075213,0.166165754
StMichaelsChurch&CastelBeranger,02_Romanesque,07_ArtNouveau,19.53479047,9.815209789,17.34662201,11.41235363,49.02592528,6.89636163,90.99923372,143,0.445046335,0.290197071,0.436834499,0.411728731,0.237136379
StMichaelsChurch&HotelTassel,02_Romanesque,07_ArtNouveau,28.43964132,15.63654499,22.05861434,11.49310578,49.31381669,8.884132678,90.90750813,40,0.315652274,0.309950605,0.497422814,0.369477922,0.168711886
StMichaelsChurch&SecessionBulding,02_Romanesque,07_ArtNouveau,29.50326575,12.56880123,26.71420521,10.99993035,51.79780527,7.149096801,93.71681213,40,0.35758014,0.235307306,0.469037108,0.366327503,0.275524974
AbbeyChurchOfSainteFoy&Bergpolderflat,02_Romanesque,08_EarlyModernism,26.58943541,10.40255718,18.7304667,14.46828711,45.33981762,7.049166078,73.49472046,31,0.245648921,0.295825139,0.305204183,0.569444444,0.060457084
AbbeyChurchOfSainteFoy&FagusFactory,02_Romanesque,08_EarlyModernism,29.52511261,11.41792026,17.92890267,17.23600006,44.00818015,6.666042649,87.19525933,66,0.261372197,0.283387087,0.342502579,0.462250164,0.091904171
AbbeyChurchOfSainteFoy&Tugendhat,02_Romanesque,08_EarlyModernism,26.08095303,12.08730931,20.43333979,13.15310358,42.54010106,6.707492423,87.25157976,32,0.319058016,0.249827776,0.312208027,0.489604986,0.099330679
AbbeyChurchOfSainteFoy&Zonnestraal,02_Romanesque,08_EarlyModernism,28.37153974,13.56490857,18.63748664,14.17948409,46.53446042,6.610348552,87.16295958,172,0.277285919,0.289422341,0.364714965,0.549284631,0.277898759
Durham Cathedral&Bergpolderflat,02_Romanesque,08_EarlyModernism,24.46287906,11.40138803,19.18818322,18.42907888,47.43059158,8.770409407,78.99592519,31,0.311645765,0.208186228,0.466128968,0.542115199,0.058995057
Durham Cathedral&FagusFactory,02_Romanesque,08_EarlyModernism,32.34463103,8.759905971,17.22867459,16.31762782,48.33115889,8.609129885,87.6891315,66,0.290060837,0.210022449,0.53145019,0.411843884,0.008066123
Durham Cathedral&Tugendhat,02_Romanesque,08_EarlyModernism,29.09259851,9.300198016,22.00177829,11.40853312,44.25380539,8.754408739,87.48125434,32,0.449801922,0.201982882,0.457372554,0.546777393,0.108420521
Durham Cathedral&Zonnestraal,02_Romanesque,08_EarlyModernism,33.78988782,10.32538134,19.16481027,11.32198776,53.94589751,8.242624467,86.37295961,172,0.365060963,0.211187489,0.562096819,0.55793933,0.189365655
Lund Cathedral&Bergpolderflat,02_Romanesque,08_EarlyModernism,25.28465423,11.77841381,18.41425542,9.215591881,39.06815436,10.64522067,76.96259022,25,0.390533611,0.252736427,0.373862267,0.542627353,0.207175106
Lund Cathedral&FagusFactory,02_Romanesque,08_EarlyModernism,27.27619867,15.46388131,16.3649887,11.29294875,36.92437299,10.79033776,90.57486653,62,0.329834022,0.267468449,0.469244108,0.420257867,0.11079675
Lund Cathedral&Tugendhat,02_Romanesque,08_EarlyModernism,24.838323,15.17873791,17.57310713,9.905572412,31.72027453,10.56592378,90.49338102,34,0.358218685,0.252411008,0.454097733,0.582119908,0.180387095
Lund Cathedral&Zonnestraal,02_Romanesque,08_EarlyModernism,26.70344675,16.32538488,15.53789147,9.064417416,43.9250184,10.32412946,88.69529366,168,0.290198095,0.234006405,0.364374235,0.579283637,0.199244842
StMichaelsChurch&Bergpolderflat,02_Romanesque,08_EarlyModernism,30.3932548,11.82777582,23.70308249,10.88450115,52.43115921,7.567397208,85.62796116,29,0.316504575,0.224996116,0.497151248,0.390137157,0.255206525
StMichaelsChurch&FagusFactory,02_Romanesque,08_EarlyModernism,34.94518179,8.854951047,23.67310582,10.55856305,51.65281687,7.258954908,90.37486315,62,0.364876546,0.265063077,0.542902306,0.389536484,0.281131506
StMichaelsChurch&Tugendhat,02_Romanesque,08_EarlyModernism,30.63299106,9.183799698,24.55774708,10.29131815,52.02643897,7.038936528,89.35368657,34,0.393918797,0.264336739,0.442237839,0.425897591,0.330172002
StMichaelsChurch&Zonnestraal,02_Romanesque,08_EarlyModernism,33.14644408,12.06474648,23.76083675,9.79451479,59.30690697,6.544933317,89.40073848,172,0.342252322,0.244275734,0.570415214,0.529327613,0.433908969
AbbeyChurchOfSainteFoy&Chilehaus,02_Romanesque,09_Expressionist,27.91656115,10.63038609,15.90374878,17.39490926,48.68962699,6.600604946,85.37206054,168,0.360942744,0.363103099,0.359582782,0.536111224,0.057913121
AbbeyChurchOfSainteFoy&EinsteinTower,02_Romanesque,09_Expressionist,26.83379199,10.18704395,21.63178472,14.11471889,36.74851949,6.718064945,87.57422566,33,0.352619559,0.275016319,0.335643351,0.632645544,-0.001451792
AbbeyChurchOfSainteFoy&Goetheanum,02_Romanesque,09_Expressionist,29.13017654,12.55541762,20.8911285,14.07448821,45.11648895,7.058422398,75.29945374,69,0.401068762,0.331397876,0.389389704,0.609271796,0.053854536
AbbeyChurchOfSainteFoy&HetSchip,02_Romanesque,09_Expressionist,24.68541668,10.30028486,18.86392253,14.79857905,43.65894699,6.785919829,81.39811158,57,0.307346068,0.283661906,0.383789827,0.571985756,0.116106205
Durham Cathedral&Chilehaus,02_Romanesque,09_Expressionist,27.98486433,12.13867013,14.53533273,8.811852596,55.20670075,8.242282051,88.7609601,168,0.348285247,0.306470744,0.497732118,0.54588655,0.057162289
Durham Cathedral&EinsteinTower,02_Romanesque,09_Expressionist,30.95341078,11.55899423,21.08882289,17.03966111,44.99183099,8.691483848,80.73779345,33,0.35073895,0.21745564,0.481947978,0.557774386,0.085434973
Durham Cathedral&Goetheanum,02_Romanesque,09_Expressionist,32.81185615,10.05395582,23.18118473,14.94477502,50.58382908,8.686814301,80.10982275,69,0.407501549,0.319648135,0.463752275,0.566220859,0.06830743
Durham Cathedral&HetSchip,02_Romanesque,09_Expressionist,27.95565823,7.98110801,19.23611091,12.53656107,47.45963027,8.57369518,84.36198831,57,0.332859214,0.227709088,0.475243126,0.663078349,0.138309777
Lund Cathedral&Chilehaus,02_Romanesque,09_Expressionist,26.05608669,12.37167105,11.31813514,14.11379094,41.65437468,10.68736437,91.35018587,164,0.430512972,0.398920931,0.333002821,0.605059635,0.122128382
Lund Cathedral&EinsteinTower,02_Romanesque,09_Expressionist,27.61676484,12.4004736,19.77839842,10.64248618,38.64459443,10.49310771,90.12382627,17,0.344306052,0.294546898,0.268592874,0.585397429,0.135635689
Lund Cathedral&Goetheanum,02_Romanesque,09_Expressionist,27.94065008,15.16043162,19.60414536,10.77673311,40.31170903,10.64636929,75.69544315,67,0.431498662,0.325266831,0.319404195,0.577449292,0.160251126
Lund Cathedral&HetSchip,02_Romanesque,09_Expressionist,23.36781525,13.27776559,16.74874727,9.235232547,36.58182338,10.24085889,87.86321282,57,0.334237255,0.303629272,0.396936675,0.69481796,0.147528052
StMichaelsChurch&Chilehaus,02_Romanesque,09_Expressionist,31.8297694,13.82966562,18.55984583,12.76665431,58.61208557,6.702891046,91.68409109,164,0.392900363,0.318395145,0.493675411,0.498514674,0.313219726
StMichaelsChurch&EinsteinTower,02_Romanesque,09_Expressionist,34.16012889,11.98468149,25.52166264,10.33533435,50.90502298,7.313417205,80.26708364,33,0.434959792,0.237991001,0.492961198,0.474958909,0.266333908
StMichaelsChurch&Goetheanum,02_Romanesque,09_Expressionist,33.41195034,11.83566331,24.75583011,10.82521755,53.84801379,7.488829246,83.91682506,71,0.459994636,0.255793341,0.48503831,0.448233468,0.312171817
StMichaelsChurch&HetSchip,02_Romanesque,09_Expressionist,30.61945708,9.060320798,24.50851011,10.28285719,51.24225556,6.943796435,90.4466629,63,0.437527865,0.257650316,0.486723522,0.429962201,0.257374614
AbbeyChurchOfSainteFoy&EquitableBuilding,02_Romanesque,10_International,22.32250078,11.37693989,16.37174504,16.36096737,37.00652986,6.587851067,85.61141491,164,0.187635873,0.40742296,0.367962226,0.624826893,-0.000758116
AbbeyChurchOfSainteFoy&Glaspaleis,02_Romanesque,10_International,24.37775415,10.58320044,22.41589154,11.52186517,16.19167542,31.91883217,86.59327626,35,0.242426489,0.328991259,0.28394556,0.489143978,0.175161004
AbbeyChurchOfSainteFoy&Kiefhoek,02_Romanesque,10_International,28.67124307,11.08021093,21.73285948,14.6059247,42.8824251,6.711001412,77.42140293,32,0.243840992,0.257599719,0.330338664,0.489143978,0.071469873
AbbeyChurchOfSainteFoy&SeagramBuilding,02_Romanesque,10_International,17.69249284,11.4011934,18.93463704,15.10854351,33.14662668,6.754530398,84.82711911,67,0.194439687,0.352844201,0.331975649,0.510172423,-0.027223231
Durham Cathedral&EquitableBuilding,02_Romanesque,10_International,29.45662903,15.28673456,17.0899256,17.9942927,45.90667918,8.307516089,84.5664084,164,0.280019082,0.3639578,0.52647204,0.530183199,0.150433257
Durham Cathedral&Glaspaleis,02_Romanesque,10_International,24.46379435,10.32093375,23.21787031,15.2815239,33.89925823,25.21745946,85.33152938,35,0.300500162,0.244587675,0.414919809,0.455877258,0.195266828
Durham Cathedral&Kiefhoek,02_Romanesque,10_International,33.68229604,8.028106288,22.88007635,14.81294488,44.24563594,9.037770511,81.45805597,32,0.247478787,0.203841005,0.431565888,0.44907312,0.132822961
Durham Cathedral&SeagramBuilding,02_Romanesque,10_International,25.23346244,15.11230415,22.41699132,11.40752435,47.66423428,8.353577106,88.86642456,67,0.271066092,0.294038989,0.464459911,0.496655481,0.144924998
Lund Cathedral&EquitableBuilding,02_Romanesque,10_International,23.6703041,11.3362122,16.43193332,11.8468185,37.38964729,10.08178304,89.6990478,162,0.276574884,0.374307223,0.386808306,0.579128882,0.159467831
Lund Cathedral&Glaspaleis,02_Romanesque,10_International,22.66924176,13.24925259,19.5591117,9.336538392,36.20349756,16.88923623,89.00466561,19,0.35101179,0.31594648,0.372614115,0.502439889,0.199894235
Lund Cathedral&Kiefhoek,02_Romanesque,10_International,26.86724796,14.80922324,20.87434335,8.773886839,33.84538131,11.08735284,81.05148673,12,0.211849935,0.249028243,0.355478972,0.472884601,0.208510399
Lund Cathedral&SeagramBuilding,02_Romanesque,10_International,18.04346041,11.85242623,15.30571569,13.19829657,39.66899073,10.45838247,88.83177042,65,0.300296422,0.341897488,0.424564421,0.501434285,0.234746248
StMichaelsChurch&EquitableBuilding,02_Romanesque,10_International,30.39079268,17.59587951,23.54122598,11.06416746,50.76089638,7.04788063,83.44863057,168,0.259359475,0.326144565,0.542473815,0.445235425,0.1325479
StMichaelsChurch&Glaspaleis,02_Romanesque,10_International,29.29643933,11.82585045,25.84304094,10.63827086,52.17259981,16.97816635,87.94770241,33,0.306390651,0.252673936,0.455593258,0.450491586,0.334120214
StMichaelsChurch&Kiefhoek,02_Romanesque,10_International,33.52138082,9.822764599,29.0385208,9.647776963,48.5828739,7.435067376,87.06378937,28,0.263258211,0.277746823,0.40598841,0.360393268,0.288056612
StMichaelsChurch&SeagramBuilding,02_Romanesque,10_International,27.58043064,16.85004956,21.75151718,13.41431392,51.94751291,6.917325062,88.77679706,65,0.26585535,0.231459271,0.458001142,0.377707838,0.128414258
AbbeyChurchOfSainteFoy&AntwerpPortHouse,02_Romanesque,11_Deconstructivism,28.1031043,11.51893819,21.06290083,16.48901975,47.82009586,6.71687894,88.25486302,105,0.266498715,0.220203076,0.361380736,0.617784435,0.079795875
AbbeyChurchOfSainteFoy&CctvHeadquarter,02_Romanesque,11_Deconstructivism,28.56685483,10.16243117,19.01592832,14.92056894,47.09318373,6.884011189,85.50787568,856,0.247487247,0.280731689,0.39495672,0.547891794,0.007941106
AbbeyChurchOfSainteFoy&GuggenheimMuseum,02_Romanesque,11_Deconstructivism,28.46316412,11.49450424,17.40154344,14.85957861,39.25899699,6.480068387,89.8393631,147,0.245243609,0.28644501,0.316289306,0.578096163,0.078950882
AbbeyChurchOfSainteFoy&JewishMuseum,02_Romanesque,11_Deconstructivism,21.85813505,9.83809158,22.40509874,14.88712727,49.16946474,6.620116418,89.40005898,159,0.236695036,0.255127225,0.392195215,0.602064798,0.082484528
Durham Cathedral&AntwerpPortHouse,02_Romanesque,11_Deconstructivism,28.71974923,10.96732619,21.20375626,17.47140224,55.10271176,8.258311395,85.13969779,105,0.279837813,0.229848992,0.482798159,0.642895962,0.131501794
Durham Cathedral&CctvHeadquarter,02_Romanesque,11_Deconstructivism,29.86941198,12.70486439,20.25778285,14.45890518,53.91752911,8.541875047,82.64560103,856,0.270342447,0.264382295,0.524321222,0.443608401,0.148960635
Durham Cathedral&GuggenheimMuseum,02_Romanesque,11_Deconstructivism,34.7140761,7.309297242,17.80232839,20.22152661,47.04670853,8.040165176,84.27615166,147,0.229404043,0.288064636,0.387704149,0.625254125,0.047276087
Durham Cathedral&JewishMuseum,02_Romanesque,11_Deconstructivism,23.81784996,7.199611123,21.43631744,23.22341373,54.70668123,8.333105565,83.98481607,159,0.322394196,0.215291806,0.469695787,0.61545626,0.109334961
Lund Cathedral&AntwerpPortHouse,02_Romanesque,11_Deconstructivism,31.14550402,12.57688937,20.76342158,10.37941329,42.28611194,10.53012953,92.03695059,107,0.317555245,0.226408448,0.334003796,0.670214786,0.200110719
Lund Cathedral&CctvHeadquarter,02_Romanesque,11_Deconstructivism,30.1956657,11.07777424,16.41305293,11.00904376,42.33559307,10.78060215,85.22570133,852,0.357899018,0.27139625,0.378795314,0.465541881,0.089842603
Lund Cathedral&GuggenheimMuseum,02_Romanesque,11_Deconstructivism,27.12513158,15.7220595,17.61219198,11.50625663,36.99523653,10.19820072,90.42509198,143,0.190537766,0.283476748,0.26808767,0.645221026,0.159562841
Lund Cathedral&JewishMuseum,02_Romanesque,11_Deconstructivism,21.73871376,13.76805803,22.20113291,11.77643382,42.76714904,10.68760367,84.96484756,157,0.272475205,0.261156276,0.340364387,0.625533905,0.237681597
StMichaelsChurch&AntwerpPortHouse,02_Romanesque,11_Deconstructivism,32.07986787,10.24873281,27.40040965,10.47643382,58.69572078,6.645008043,84.4102025,115,0.308428608,0.247005831,0.511186908,0.491136446,0.181504652
StMichaelsChurch&CctvHeadquarter,02_Romanesque,11_Deconstructivism,32.96851288,14.45675023,24.88285801,11.26434172,59.22892608,6.949405265,81.00402355,858,0.274914008,0.274468191,0.557405049,0.399440622,0.026166428
StMichaelsChurch&GuggenheimMuseum,02_Romanesque,11_Deconstructivism,34.41042444,8.700780904,24.12339636,10.63277677,48.7411963,6.423088386,83.09476376,147,0.232459858,0.24112244,0.372737154,0.428837565,0.10573899
StMichaelsChurch&JewishMuseum,02_Romanesque,11_Deconstructivism,24.6352364,7.605727409,27.44120075,10.52528907,59.85562321,6.737995865,85.01418233,165,0.305576488,0.263167407,0.466131464,0.4527602,0.481169403
CanterburyCathedral&ChartresCathedral,03_Gothic,03_Gothic,38.85357795,9.70241644,13.44961354,12.31467723,32.21490907,13.63968374,87.63554096,91,0.564478134,0.5880979,0.468801349,0.689807014,0.347872049
CanterburyCathedral&Lincolncathedral,03_Gothic,03_Gothic,31.6801239,9.175057692,11.17333456,12.02038903,37.78824446,13.63504053,95.02086639,79,0.614003276,0.659017086,0.574382111,0.682778652,0.597861528
CanterburyCathedral&NotreDameDeParis,03_Gothic,03_Gothic,35.61071156,10.85243813,12.29808254,11.58123603,35.68492912,13.53910563,88.33218813,110,0.617524534,0.498024255,0.523136064,0.630355414,0.374664605
ChartresCathedral&Lincolncathedral,03_Gothic,03_Gothic,27.69590433,12.64429357,11.9232475,16.37473753,37.51945943,8.702274936,90.08074999,90,0.559739053,0.618658096,0.486767098,0.661396244,0.393526822
ChartresCathedral&NotreDameDeParis,03_Gothic,03_Gothic,29.60998402,11.0387992,14.02787389,14.43708274,36.42526401,8.492432056,96.78613544,113,0.571832672,0.527864948,0.53091412,0.66339393,0.580253243
Lincolncathedral&NotreDameDeParis,03_Gothic,03_Gothic,31.44589108,8.627553434,6.632281607,9.854249818,51.33735093,7.479678446,89.29089904,111,0.567975998,0.537223585,0.576995805,0.57983531,0.440690339
CanterburyCathedral&FlorenceCathedral,03_Gothic,04_Renaissance,31.44946268,9.390447395,10.72730423,11.85851151,35.18150295,14.26577695,86.63186431,91,0.498908614,0.423741508,0.397923417,0.596945842,0.306812972
CanterburyCathedral&OspedaledegliInnocenti,03_Gothic,04_Renaissance,31.01951868,9.207561835,15.39517049,11.95904722,32.18242354,13.23517746,79.16314006,81,0.311371475,0.390773311,0.462181814,0.562403029,0.168873832
CanterburyCathedral&PalazzoMediciRiccardi,03_Gothic,04_Renaissance,31.34523143,9.88168306,13.23854296,12.96167677,36.49878417,13.41475229,90.96540809,87,0.518281912,0.434502877,0.539092176,0.563738137,0.240673512
CanterburyCathedral&SantaMariadellaPace,03_Gothic,04_Renaissance,35.74913354,10.43406083,11.79048496,11.66675434,37.53437264,12.82365137,91.16351604,86,0.518335154,0.531918921,0.424887568,0.234484153,0.334615618
ChartresCathedral&FlorenceCathedral,03_Gothic,04_Renaissance,26.7622483,12.78373119,12.2243784,16.17431565,35.23299613,9.475681156,94.47332025,32,0.470737047,0.378229164,0.408432685,0.59516837,0.317818075
ChartresCathedral&OspedaledegliInnocenti,03_Gothic,04_Renaissance,24.9573705,12.77004663,16.40292478,14.8611358,25.06022139,10.22530465,90.47401547,86,0.302047767,0.40809869,0.364465907,0.592467756,0.190377489
ChartresCathedral&PalazzoMediciRiccardi,03_Gothic,04_Renaissance,26.13269783,12.02429517,14.53234516,16.05322436,36.29171597,9.139747342,85.86007357,36,0.373209566,0.409399986,0.470802583,0.57308032,0.146307468
ChartresCathedral&SantaMariadellaPace,03_Gothic,04_Renaissance,28.76672124,9.587570616,12.44148378,14.48097595,36.23816125,8.19374951,85.05997062,61,0.457725763,0.481265783,0.35010279,0.246774058,0.273175746
Lincolncathedral&FlorenceCathedral,03_Gothic,04_Renaissance,22.21967636,8.104623139,8.742436908,16.12164427,53.74381724,7.672527732,88.11306357,92,0.47530055,0.407264628,0.450289175,0.617741283,0.398007184
Lincolncathedral&OspedaledegliInnocenti,03_Gothic,04_Renaissance,20.43163253,8.650249961,10.32991468,8.695447237,41.01220886,8.673568561,80.08637428,86,0.283710711,0.43238876,0.43511647,0.562955645,0.248938948
Lincolncathedral&PalazzoMediciRiccardi,03_Gothic,04_Renaissance,25.74629961,8.315773001,9.038449726,9.851720106,48.10873302,9.344355384,88.69811893,80,0.400964849,0.449314855,0.625691161,0.510753918,0.220374927
Lincolncathedral&SantaMariadellaPace,03_Gothic,04_Renaissance,31.06453522,8.868032783,7.448731968,9.272982444,49.58908963,7.553120139,88.38692307,85,0.422666833,0.571278304,0.429458447,0.255819938,0.336372048
NotreDameDeParis&FlorenceCathedral,03_Gothic,04_Renaissance,27.30333952,12.55228825,13.90861356,18.54160283,50.63130729,7.958502059,94.54494119,113,0.518809952,0.366778884,0.470593996,0.542588087,0.511305213
NotreDameDeParis&OspedaledegliInnocenti,03_Gothic,04_Renaissance,29.01866727,12.49042165,17.67173346,10.26177058,34.24240701,9.428638372,89.59110379,117,0.353939772,0.349925827,0.342481703,0.582742888,0.343766242
NotreDameDeParis&PalazzoMediciRiccardi,03_Gothic,04_Renaissance,28.38295693,11.76469044,12.51224563,11.83656503,49.15225686,8.544867962,85.52388549,109,0.499354847,0.344769537,0.516975634,0.563226675,0.193458661
NotreDameDeParis&SantaMariadellaPace,03_Gothic,04_Renaissance,32.2224226,9.71259726,10.03994915,12.35488229,50.963084,6.755527345,83.71314406,106,0.505737871,0.436265759,0.446704172,0.174239363,0.391733497
CanterburyCathedral&ChateaudeMaisons,03_Gothic,05_Baroque,32.86568996,10.83479981,13.79091922,11.31694834,32.83302817,13.97564714,93.59966516,84,0.574087108,0.430659793,0.452051796,0.523494644,0.220526814
CanterburyCathedral&ChurchGesu,03_Gothic,05_Baroque,35.13880617,11.57692181,11.14692747,12.57190569,37.07723801,14.25243848,87.25003004,91,0.471937488,0.473011322,0.453880914,0.626667815,0.256498337
CanterburyCathedral&SanCarloalleQuattroFontane,03_Gothic,05_Baroque,35.41568065,13.27558675,12.17347908,12.2750767,27.79193932,21.40369702,83.75179768,89,0.40693527,0.380907215,0.358210191,0.625295882,0.238789439
CanterburyCathedral&VauxleVicomte,03_Gothic,05_Baroque,31.37284443,8.911833805,13.27163128,10.63883425,36.24517158,14.27733396,88.66753578,89,0.52581132,0.387534656,0.546539232,0.470918286,0.256800413
ChartresCathedral&ChateaudeMaisons,03_Gothic,05_Baroque,27.07362916,14.0101158,14.85734695,15.65784133,30.35630884,10.14267764,89.76069689,61,0.470636569,0.392038763,0.378903754,0.539177005,0.30679214
ChartresCathedral&ChurchGesu,03_Gothic,05_Baroque,30.32316159,10.60157303,11.39144381,14.79065769,37.95750836,8.724411077,93.02566051,34,0.414641291,0.4183947,0.377923399,0.626948927,0.31990248
ChartresCathedral&SanCarloalleQuattroFontane,03_Gothic,05_Baroque,27.70429525,10.96084194,13.7126575,17.21710012,25.80097266,18.41163641,94.19382811,18,0.371493801,0.376261786,0.346312806,0.622619048,0.200254709
ChartresCathedral&VauxleVicomte,03_Gothic,05_Baroque,26.67876052,11.85723249,14.25053207,14.1048925,35.69445521,9.667430178,92.43938923,48,0.468582377,0.381378271,0.493473724,0.474258661,0.335289985
Lincolncathedral&ChateaudeMaisons,03_Gothic,05_Baroque,26.18896803,10.17699865,8.841878988,8.61358321,52.826999,7.806618891,93.41294169,69,0.487364434,0.476745568,0.509781934,0.493948179,0.239515185
Lincolncathedral&ChurchGesu,03_Gothic,05_Baroque,31.12310284,10.22174707,9.693430423,12.47371308,51.89719973,9.008884404,86.80928349,86,0.377278052,0.507122144,0.446694873,0.600352314,0.245948493
Lincolncathedral&SanCarloalleQuattroFontane,03_Gothic,05_Baroque,34.25451415,10.21682502,9.006005233,12.96018525,29.16533651,26.76866884,85.27415991,90,0.384365521,0.355883069,0.410208076,0.570302858,0.28459689
Lincolncathedral&VauxleVicomte,03_Gothic,05_Baroque,22.55004019,8.390147117,7.417842582,7.281083458,56.21805221,7.749593015,86.8383944,82,0.44496616,0.437008969,0.67638886,0.450576657,0.24258703
NotreDameDeParis&ChateaudeMaisons,03_Gothic,05_Baroque,31.35378392,14.04838391,14.51258307,10.68963896,48.39667643,8.192357448,89.04752135,112,0.505739242,0.317340989,0.428790405,0.52867396,0.300604582
NotreDameDeParis&ChurchGesu,03_Gothic,05_Baroque,30.29647823,11.8711334,11.89643328,19.94297932,52.63302755,7.783941183,94.81052756,119,0.441357583,0.397410572,0.456366025,0.58430552,0.328971952
NotreDameDeParis&SanCarloalleQuattroFontane,03_Gothic,05_Baroque,30.64343171,9.519226366,14.18346114,16.81984106,33.94583215,20.63680729,93.83183718,113,0.403241083,0.365793802,0.345255785,0.599739428,0.278677285
NotreDameDeParis&VauxleVicomte,03_Gothic,05_Baroque,26.0974719,12.89348106,12.27343322,8.918079109,52.86840148,7.993135939,89.86474276,105,0.484885231,0.34365733,0.567515433,0.409006412,0.3647331
CanterburyCathedral&Amalienburg,03_Gothic,06_Rococo,29.14624156,9.686610238,13.12727148,10.79378006,37.77376906,13.20919054,88.94892335,92,0.343783995,0.363852464,0.397685573,0.464254936,0.169426993
CanterburyCathedral&HoteldeSoubise,03_Gothic,06_Rococo,29.67564736,8.628568256,13.51263762,10.55282536,34.15811069,12.00741294,89.33135867,78,0.452716177,0.418601185,0.445489056,0.323081171,0.178158775
CanterburyCathedral&LinderhofPalace,03_Gothic,06_Rococo,26.1811835,9.364537678,10.17060645,11.22189011,36.95863826,12.61515228,89.58866,88,0.49121806,0.284895174,0.429827668,0.554602267,0.123084545
CanterburyCathedral&Sanssouci,03_Gothic,06_Rococo,30.30538067,10.06891129,11.79945969,12.48152623,33.84272335,11.373226,82.40402341,88,0.366305669,0.346997924,0.413607135,0.528513381,0.139598474
ChartresCathedral&Amalienburg,03_Gothic,06_Rococo,24.19857155,12.8431311,14.46770441,14.60888151,36.24160875,8.362898295,91.27140641,27,0.374706097,0.345458552,0.305524342,0.499608484,0.039183278
ChartresCathedral&HoteldeSoubise,03_Gothic,06_Rococo,24.9134884,11.90791363,15.69555606,14.24938405,33.29530308,6.204273821,88.90095949,71,0.402821891,0.433403827,0.421682276,0.371166112,0.288493454
ChartresCathedral&LinderhofPalace,03_Gothic,06_Rococo,20.9040348,11.83691776,11.94084234,15.17246505,38.58895621,7.121587927,88.66606355,33,0.441351503,0.315799903,0.363529392,0.54364194,0.012020366
ChartresCathedral&Sanssouci,03_Gothic,06_Rococo,26.1301429,14.06083812,13.13435857,16.40264271,32.03428573,6.702807666,89.96237516,33,0.373768456,0.36476209,0.383004665,0.555414252,0.106350236
Lincolncathedral&Amalienburg,03_Gothic,06_Rococo,21.28880981,10.79175068,7.753801398,8.480046987,53.27057885,7.229175026,87.13375926,85,0.294959523,0.383338615,0.382619798,0.459678527,0.186549738
Lincolncathedral&HoteldeSoubise,03_Gothic,06_Rococo,21.45137041,7.714355192,8.307940546,10.0708599,51.83787148,5.730526664,86.025244,75,0.342462715,0.467871092,0.566954732,0.307170742,0.126474395
Lincolncathedral&LinderhofPalace,03_Gothic,06_Rococo,17.66498258,10.51909792,5.508239642,9.239988757,50.46884336,6.473006167,87.68541813,83,0.442390665,0.331557415,0.507772915,0.517703271,0.168406531
